id,area,bedrooms,bathrooms,stories,parking,location,furnishing,age_years,amenities_score,price
52,4141,6,2,1,2,Tech Park Area,Fully-Furnished,40,9,18289385.27
53,3802,2,2,3,1,Riverside,Unfurnished,1,0,14711992.88
54,2396,5,1,4,3,Old Town,Unfurnished,24,7,6931004.27
55,1054,6,6,1,0,City Center,Unfurnished,11,8,6558408.29
56,2733,2,1,4,1,Countryside,Fully-Furnished,33,8,6412137.2
57,4341,4,4,4,3,Suburb South,Fully-Furnished,30,7,16097108.98
58,1462,6,3,4,1,Industrial Zone,Semi-Furnished,4,4,4651321.58
59,1825,3,1,2,1,Riverside,Semi-Furnished,9,3,7278311.02
60,2119,3,3,4,0,Riverside,Semi-Furnished,24,9,10349189.93
61,530,5,4,4,0,Hill View,Semi-Furnished,24,6,2850479.36
62,3459,5,5,2,3,Riverside,Semi-Furnished,27,7,14431197.55
63,1826,6,6,4,1,Countryside,Unfurnished,39,8,3572423.22
64,2063,5,5,1,0,City Center,Unfurnished,29,2,8502526.21
65,2002,3,2,4,2,Hill View,Semi-Furnished,17,6,10110461.26
66,785,4,1,1,2,Riverside,Fully-Furnished,4,10,4211826.34
67,577,2,1,1,1,Riverside,Unfurnished,30,10,1901636.03
68,4332,2,2,3,2,Suburb South,Fully-Furnished,38,1,12987554.68
69,1120,3,1,1,2,Old Town,Fully-Furnished,24,6,3867884.52
70,1262,1,1,1,2,Old Town,Unfurnished,36,0,2370942.18
71,2204,6,3,1,2,Downtown,Semi-Furnished,31,1,9331567.98
72,1933,6,6,4,1,City Center,Unfurnished,33,10,10176609.85
73,3760,5,4,4,3,Old Town,Semi-Furnished,20,3,13165075.41
74,804,3,3,2,3,Old Town,Fully-Furnished,24,5,2416892.76
75,3935,3,2,4,1,Hill View,Semi-Furnished,21,4,20686880.67
76,3322,3,1,2,0,Riverside,Fully-Furnished,26,7,14935133.08
77,1434,6,4,4,3,Downtown,Unfurnished,18,3,7057732.4
78,1446,3,3,4,2,City Center,Fully-Furnished,35,5,7463197.99
79,2308,3,3,3,1,Suburb North,Fully-Furnished,12,5,9730930.28
80,2644,6,2,2,1,Countryside,Semi-Furnished,37,8,5844618.63
81,4466,1,1,3,1,Hill View,Unfurnished,19,0,18028433.23
82,968,3,1,1,2,Suburb South,Fully-Furnished,31,1,3126813.96
83,2801,3,3,4,3,Hill View,Unfurnished,3,4,16704819.0
84,2406,1,1,4,3,Suburb North,Fully-Furnished,40,10,7718080.57
85,1061,5,3,1,1,Suburb North,Fully-Furnished,26,9,4752708.95
86,2983,2,2,4,3,Countryside,Semi-Furnished,37,6,5659099.36
87,2993,1,1,2,1,Industrial Zone,Fully-Furnished,5,2,8322092.39
88,2710,1,1,1,3,Countryside,Fully-Furnished,38,7,5272117.4
89,1398,3,3,4,0,Riverside,Semi-Furnished,40,9,5445613.34
90,4274,2,2,1,1,Suburb South,Semi-Furnished,9,1,12674861.83
91,3696,3,3,4,0,Countryside,Fully-Furnished,19,6,10902043.74
92,2499,5,4,4,0,Old Town,Unfurnished,27,5,7247287.52
93,555,1,1,1,2,Old Town,Unfurnished,11,7,1576511.26
94,2261,3,2,4,3,Suburb North,Semi-Furnished,22,6,8388078.84
95,3194,1,1,3,3,Countryside,Semi-Furnished,25,8,6325675.61
96,810,3,3,3,0,City Center,Fully-Furnished,0,10,6775280.86
97,2342,4,1,2,2,Old Town,Semi-Furnished,40,7,6235052.41
98,1283,3,2,3,3,Countryside,Unfurnished,1,10,3643670.35
99,1430,6,2,3,0,Tech Park Area,Semi-Furnished,5,3,8199466.99
100,4189,1,1,1,1,Countryside,Fully-Furnished,18,8,10865090.75
101,2151,4,4,2,3,Tech Park Area,Unfurnished,24,3,9434103.37
102,2531,6,2,1,2,City Center,Semi-Furnished,32,4,13197695.85
103,1608,6,3,4,1,Countryside,Fully-Furnished,30,5,4053080.72
104,3574,5,4,4,2,Riverside,Fully-Furnished,15,9,20931976.32
105,3956,4,1,3,3,City Center,Semi-Furnished,9,7,26997793.27
106,967,5,5,3,0,Countryside,Unfurnished,33,7,1853481.7
107,1040,4,2,1,3,Industrial Zone,Semi-Furnished,39,6,2412287.8
108,3938,3,3,3,3,Tech Park Area,Unfurnished,39,1,11976417.41
109,3253,3,2,1,3,Suburb North,Fully-Furnished,6,7,14694504.6
110,1676,1,1,3,0,Industrial Zone,Semi-Furnished,23,6,3749869.11
111,2625,4,4,2,1,Suburb South,Unfurnished,39,6,7289083.83
112,1436,4,4,2,1,Countryside,Fully-Furnished,16,7,3979860.65
113,488,4,3,2,0,Countryside,Semi-Furnished,37,4,969938.32
114,2187,6,3,4,2,Riverside,Semi-Furnished,30,1,8341418.68
115,2792,3,3,3,0,City Center,Semi-Furnished,0,9,20487666.22
116,3637,6,1,4,2,Riverside,Fully-Furnished,22,3,18265059.69
117,2993,3,2,1,0,Industrial Zone,Semi-Furnished,2,9,9337301.8
118,988,1,1,3,3,Suburb South,Unfurnished,8,8,3648123.8
119,1948,5,5,3,1,Industrial Zone,Semi-Furnished,18,5,6235156.88
120,2368,1,1,2,3,Tech Park Area,Semi-Furnished,5,6,10247702.64
121,2647,1,1,3,2,Old Town,Semi-Furnished,40,5,5558445.94
122,1407,4,1,3,1,Suburb North,Fully-Furnished,29,4,5453374.4
123,927,2,1,1,2,Countryside,Unfurnished,6,3,2158956.23
124,1005,4,4,3,3,Old Town,Fully-Furnished,9,6,4271361.87
125,3864,4,4,4,2,Downtown,Fully-Furnished,23,3,20909179.43
126,4343,2,2,1,2,Tech Park Area,Fully-Furnished,22,0,17925101.84
127,1227,1,1,1,1,Old Town,Unfurnished,3,5,3368246.12
128,965,5,2,1,1,Old Town,Unfurnished,14,5,3050765.05
129,3680,5,1,3,1,Suburb South,Fully-Furnished,16,2,12970266.75
130,3998,1,1,1,2,Riverside,Fully-Furnished,20,0,14686439.24
131,664,2,2,4,0,Suburb North,Semi-Furnished,28,5,2231285.52
132,896,4,4,2,0,Tech Park Area,Semi-Furnished,29,10,4497096.82
133,699,4,4,4,0,Countryside,Fully-Furnished,28,1,1784566.97
134,1769,5,2,1,1,Industrial Zone,Fully-Furnished,40,9,4723311.84
135,1781,4,4,3,3,Tech Park Area,Fully-Furnished,27,1,8794137.17
136,918,6,6,2,3,Countryside,Unfurnished,26,5,2286299.17
137,2083,4,1,3,3,Hill View,Fully-Furnished,16,5,13445559.13
138,3263,4,1,1,0,Suburb North,Semi-Furnished,6,5,14142930.93
139,2728,1,1,1,3,Hill View,Fully-Furnished,27,0,12891020.23
140,2909,3,3,1,1,Suburb South,Fully-Furnished,30,3,10107344.47
141,1884,5,3,1,2,Old Town,Unfurnished,27,8,5924609.82
142,3802,5,5,1,2,Downtown,Unfurnished,17,4,20023057.18
143,1887,1,1,2,3,Suburb North,Unfurnished,40,0,4060025.12
144,2622,2,2,4,3,Hill View,Unfurnished,23,4,11970932.93
145,3631,5,5,1,0,Suburb South,Unfurnished,39,0,9282959.58
146,1564,4,4,4,3,City Center,Semi-Furnished,13,8,9508658.75
147,2210,1,1,4,2,Downtown,Unfurnished,25,9,8579794.05
148,1287,3,2,2,2,Industrial Zone,Semi-Furnished,7,0,3470818.07
149,2213,2,1,4,1,Tech Park Area,Fully-Furnished,22,1,9446838.68
150,3489,1,1,1,3,Suburb North,Semi-Furnished,36,6,10418567.25
151,3356,6,4,3,0,City Center,Unfurnished,20,2,18280997.43
152,2981,4,3,1,3,Suburb North,Unfurnished,27,9,10370035.6
153,772,4,3,3,1,Hill View,Unfurnished,4,8,4596193.55
154,2623,5,2,3,2,Suburb South,Unfurnished,6,2,8807376.68
155,1160,5,2,1,1,Countryside,Semi-Furnished,36,9,2460033.7
156,4235,5,5,3,2,Suburb South,Semi-Furnished,4,7,18934995.89
157,1690,3,1,3,0,Industrial Zone,Semi-Furnished,28,0,3332738.0
158,3856,3,1,1,3,Countryside,Fully-Furnished,35,0,7442051.07
159,3767,5,5,2,2,Old Town,Semi-Furnished,32,2,11501120.55
160,2295,1,1,1,1,Downtown,Unfurnished,28,7,8732351.35
161,2947,2,2,3,2,City Center,Semi-Furnished,21,10,16920052.87
162,3682,6,6,3,0,Hill View,Unfurnished,35,10,17697555.93
163,1482,6,6,2,2,Suburb North,Fully-Furnished,9,5,7604656.23
164,3137,6,6,4,1,Old Town,Fully-Furnished,5,4,14184423.46
165,3085,3,2,1,3,Tech Park Area,Semi-Furnished,1,5,15348123.98
166,4345,2,2,4,1,Riverside,Unfurnished,9,1,16448025.4
167,3678,1,1,3,1,Old Town,Semi-Furnished,9,2,10022852.77
168,3287,5,2,4,0,City Center,Semi-Furnished,15,7,20510063.6
169,3531,6,6,4,1,Tech Park Area,Unfurnished,19,7,19209531.92
170,1244,3,3,4,2,City Center,Fully-Furnished,33,6,7528956.81
171,3795,2,2,2,2,Downtown,Fully-Furnished,30,5,17972484.83
172,870,6,6,1,2,Suburb North,Unfurnished,17,7,3918153.92
173,1053,4,1,2,3,Hill View,Unfurnished,26,0,4079657.55
174,1981,2,2,1,2,Riverside,Unfurnished,20,1,7307901.08
175,3112,3,2,2,0,Industrial Zone,Semi-Furnished,8,7,9209606.36
176,471,1,1,3,1,Suburb South,Fully-Furnished,38,8,1413634.41
177,3629,3,2,3,0,Downtown,Unfurnished,26,10,17192805.64
178,2322,1,1,4,0,Tech Park Area,Fully-Furnished,15,2,10159686.89
179,456,5,3,2,3,Suburb South,Fully-Furnished,5,8,2448220.54
180,727,5,5,1,3,Countryside,Unfurnished,40,6,1536028.32
181,1488,6,1,3,0,Hill View,Unfurnished,40,1,5640799.28
182,3461,3,2,1,2,Tech Park Area,Semi-Furnished,11,10,17655498.65
183,3298,4,2,2,0,Countryside,Unfurnished,18,3,6243380.92
184,1267,1,1,3,3,Tech Park Area,Semi-Furnished,16,0,5250557.88
185,1232,3,3,1,2,Industrial Zone,Unfurnished,23,6,3205486.27
186,3494,4,4,3,1,Countryside,Fully-Furnished,31,5,9325427.74
187,2576,3,1,4,0,City Center,Fully-Furnished,11,8,16553786.35
188,870,1,1,3,2,Countryside,Fully-Furnished,27,2,1920797.33
189,1889,4,1,3,3,Industrial Zone,Fully-Furnished,3,1,6428400.09
190,2113,3,2,1,1,Old Town,Fully-Furnished,28,0,5370968.64
191,1416,6,3,3,3,Old Town,Unfurnished,38,2,3576720.98
192,4336,3,3,4,0,Old Town,Unfurnished,33,5,10539172.87
193,3110,3,2,1,0,Suburb South,Semi-Furnished,33,6,9708837.58
194,932,3,3,4,1,Old Town,Semi-Furnished,31,3,2310936.17
195,3943,1,1,2,3,Suburb North,Fully-Furnished,20,10,16162092.04
196,715,5,5,3,2,Suburb South,Fully-Furnished,40,2,2457739.86
197,2533,2,1,2,1,Riverside,Semi-Furnished,1,5,12067088.07
198,1961,4,4,2,0,Suburb North,Semi-Furnished,25,7,7525180.01
199,3600,4,4,1,1,Hill View,Fully-Furnished,4,7,24548788.46
200,2569,3,2,2,1,City Center,Fully-Furnished,3,1,16272762.33
201,1695,2,1,3,1,Hill View,Fully-Furnished,18,1,8051231.65
202,3051,5,3,2,2,Old Town,Fully-Furnished,5,8,13629376.73
203,2874,5,2,2,2,Old Town,Unfurnished,1,1,8312505.08
204,3077,5,3,2,3,Old Town,Fully-Furnished,1,7,14775664.77
205,2684,3,3,4,1,City Center,Semi-Furnished,29,1,12954661.39
206,1097,4,4,4,3,Riverside,Semi-Furnished,38,2,3875908.2
207,3392,3,3,4,1,Hill View,Fully-Furnished,35,1,14901895.6
208,2360,1,1,4,1,Suburb South,Unfurnished,3,4,8522562.61
209,3989,5,4,2,1,Hill View,Fully-Furnished,20,3,24238112.67
210,2490,5,4,4,2,Countryside,Unfurnished,5,6,6887157.91
211,4409,2,1,3,0,Downtown,Semi-Furnished,31,9,20556402.04
212,3129,6,4,3,0,Suburb North,Semi-Furnished,8,4,14797597.33
213,3578,4,3,1,3,Downtown,Fully-Furnished,35,3,15947747.68
214,1632,1,1,4,2,Old Town,Fully-Furnished,39,1,3668805.76
215,846,4,3,3,2,Suburb South,Unfurnished,38,8,2369672.62
216,614,1,1,2,2,Countryside,Fully-Furnished,29,2,1287810.75
217,2561,2,2,3,1,City Center,Fully-Furnished,19,9,15505057.86
218,3842,5,5,4,2,Countryside,Unfurnished,23,5,9339596.16
219,4463,4,4,3,0,Old Town,Semi-Furnished,16,10,16965017.2
220,3629,5,5,2,0,Old Town,Semi-Furnished,10,8,14079728.2
221,2988,4,2,2,0,Old Town,Fully-Furnished,7,3,9876436.68
222,1734,4,2,4,1,City Center,Fully-Furnished,39,7,9797433.97
223,3463,6,1,2,1,Tech Park Area,Semi-Furnished,30,8,14913926.19
224,4368,2,2,3,2,Industrial Zone,Fully-Furnished,30,3,12131033.96
225,1592,5,3,2,2,Industrial Zone,Fully-Furnished,13,7,5393076.82
226,1878,5,5,3,2,Suburb North,Fully-Furnished,34,6,8384785.07
227,2066,3,2,3,0,Industrial Zone,Fully-Furnished,5,5,7536159.39
228,3136,3,3,2,1,Tech Park Area,Semi-Furnished,35,4,10873664.13
229,2971,6,5,2,1,Downtown,Fully-Furnished,33,3,15561118.23
230,665,1,1,3,3,Suburb North,Fully-Furnished,8,0,2894860.39
231,4455,2,2,4,3,Riverside,Semi-Furnished,20,4,19224516.72
232,4168,1,1,1,1,City Center,Unfurnished,2,6,23105369.46
233,1213,6,6,3,0,Downtown,Semi-Furnished,36,9,5602726.49
234,4476,3,3,4,3,Suburb South,Fully-Furnished,29,4,14965981.67
235,911,3,2,4,2,Suburb South,Unfurnished,21,4,2844072.07
236,3551,2,1,4,3,Tech Park Area,Semi-Furnished,5,6,18638333.15
237,1206,2,2,3,1,Downtown,Semi-Furnished,24,3,5136577.4
238,1543,3,3,1,2,Hill View,Fully-Furnished,15,0,8423212.14
239,2356,3,2,4,2,Suburb North,Fully-Furnished,18,5,10466675.05
240,1347,2,2,2,3,Old Town,Semi-Furnished,26,8,4261721.36
241,3552,5,5,2,1,Old Town,Unfurnished,33,7,9869648.73
242,1931,1,1,1,1,Old Town,Fully-Furnished,9,2,5904500.55
243,2581,4,1,2,3,Suburb North,Fully-Furnished,28,0,9049735.73
244,2552,4,4,1,3,Industrial Zone,Fully-Furnished,1,6,9164644.31
245,462,6,2,1,0,City Center,Semi-Furnished,4,8,3408210.22
246,4278,1,1,1,2,City Center,Unfurnished,8,10,25287680.5
247,3095,4,3,4,3,City Center,Semi-Furnished,5,10,24242282.58
248,4032,5,2,3,0,Suburb South,Fully-Furnished,25,8,14735661.88
249,4458,2,1,1,2,Countryside,Fully-Furnished,34,6,9539112.55
250,3822,2,1,4,2,Suburb South,Semi-Furnished,12,1,11352347.17
251,3154,4,4,1,1,Riverside,Unfurnished,6,9,14073425.33
252,2898,6,6,1,1,Downtown,Semi-Furnished,28,3,14062968.21
253,3539,1,1,3,1,Old Town,Semi-Furnished,36,9,9456627.01
254,3802,3,2,3,1,Tech Park Area,Unfurnished,26,4,13674886.82
255,2730,5,5,2,3,Tech Park Area,Semi-Furnished,3,5,17123228.09
256,3199,4,4,3,3,City Center,Unfurnished,19,6,16363949.63
257,2653,4,2,2,2,Suburb South,Semi-Furnished,3,8,10978819.6
258,2156,5,5,2,3,Riverside,Semi-Furnished,13,5,11272104.18
259,4227,4,3,1,1,Downtown,Semi-Furnished,24,10,22001031.77
260,611,1,1,2,3,Riverside,Semi-Furnished,19,0,2089766.16
261,1228,6,1,4,1,Old Town,Fully-Furnished,13,6,5239132.03
262,2711,3,3,4,3,Tech Park Area,Fully-Furnished,22,4,12984145.01
263,2550,4,4,1,3,Hill View,Unfurnished,23,5,11724461.02
264,2754,2,2,2,0,Industrial Zone,Fully-Furnished,37,9,7289970.79
265,1659,2,1,3,1,City Center,Fully-Furnished,15,7,10313676.33
266,4314,6,3,3,3,Countryside,Semi-Furnished,10,5,11416788.62
267,3400,5,4,2,0,Tech Park Area,Unfurnished,4,10,16913820.94
268,476,4,2,2,0,Suburb South,Unfurnished,13,8,1645451.51
269,697,5,5,4,3,Downtown,Unfurnished,34,8,3173636.63
270,518,5,5,3,2,Downtown,Fully-Furnished,27,2,2538853.7
271,844,5,2,2,1,Old Town,Fully-Furnished,16,5,2925721.97
272,2075,1,1,4,3,Old Town,Unfurnished,14,4,5922301.54
273,3922,1,1,1,3,City Center,Semi-Furnished,35,7,15465056.3
274,488,6,2,1,3,City Center,Fully-Furnished,21,9,3619944.15
275,4438,1,1,2,1,Old Town,Semi-Furnished,17,0,12365975.11
276,3253,3,1,2,2,Downtown,Unfurnished,37,2,11614525.11
277,3369,4,1,3,1,Old Town,Unfurnished,36,6,8393106.06
278,2664,3,3,2,0,Tech Park Area,Fully-Furnished,22,0,10761636.47
279,1400,1,1,4,2,Downtown,Fully-Furnished,17,7,7564407.06
280,1907,5,4,4,1,Old Town,Fully-Furnished,24,1,6713008.15
281,1659,2,2,1,0,Industrial Zone,Unfurnished,24,10,3699350.84
282,2045,3,3,1,0,Downtown,Semi-Furnished,28,5,9305865.48
283,868,2,1,2,3,Countryside,Fully-Furnished,35,8,1901562.1
284,557,1,1,1,2,City Center,Unfurnished,18,6,2507396.65
285,796,6,5,2,1,City Center,Unfurnished,8,4,4607322.4
286,2469,2,1,2,3,Industrial Zone,Semi-Furnished,19,7,6942193.61
287,1929,3,2,4,1,Countryside,Unfurnished,8,4,4081926.75
288,2070,3,3,3,3,Hill View,Semi-Furnished,38,2,8014702.97
289,2920,6,2,4,2,Suburb South,Semi-Furnished,20,4,11187089.67
290,3042,4,4,2,2,City Center,Semi-Furnished,25,5,15068128.7
291,2759,2,2,2,0,Countryside,Fully-Furnished,13,7,7898388.99
292,3854,6,1,4,3,Suburb South,Fully-Furnished,19,3,14733265.9
293,1081,6,4,4,0,Countryside,Fully-Furnished,30,9,2990278.97
294,2525,6,4,1,2,Tech Park Area,Fully-Furnished,40,1,9543154.83
295,1466,6,6,3,1,Old Town,Unfurnished,36,10,4527280.27
296,2086,3,3,1,0,Suburb North,Semi-Furnished,14,8,8884885.53
297,2735,5,5,2,3,Hill View,Semi-Furnished,29,10,15423048.98
298,2499,2,2,1,3,Suburb North,Semi-Furnished,26,1,7217315.29
299,4303,6,2,3,2,Hill View,Semi-Furnished,13,8,26119304.05
300,2400,1,1,4,2,Suburb North,Semi-Furnished,2,1,8315836.99
301,1855,6,1,2,1,Tech Park Area,Unfurnished,35,2,6183928.35
302,2196,4,2,4,1,Suburb South,Fully-Furnished,27,6,7416301.58
303,2965,2,2,4,3,Downtown,Fully-Furnished,13,3,15672205.58
304,3332,1,1,2,2,Hill View,Unfurnished,29,1,11309896.59
305,3983,4,4,3,3,Old Town,Semi-Furnished,37,1,9820490.74
306,3913,4,4,2,2,Old Town,Fully-Furnished,5,10,16173706.52
307,932,2,2,1,1,Hill View,Fully-Furnished,9,8,5562203.67
308,2892,2,2,4,3,Suburb South,Semi-Furnished,40,8,8669730.38
309,3092,2,2,2,3,Industrial Zone,Unfurnished,11,5,8558002.5
310,2987,1,1,1,3,Suburb South,Unfurnished,24,8,8609515.87
311,2477,4,4,4,3,Countryside,Unfurnished,5,9,6425781.94
312,3567,2,2,1,2,Riverside,Fully-Furnished,18,2,16462268.32
313,2766,6,6,4,0,Old Town,Unfurnished,17,8,10346562.11
314,1952,5,1,4,1,City Center,Unfurnished,15,4,11059453.24
315,582,4,3,3,0,Countryside,Unfurnished,15,3,1368941.37
316,2858,6,3,4,1,Old Town,Unfurnished,13,3,9651601.58
317,2785,3,3,2,2,Industrial Zone,Semi-Furnished,36,4,6803422.52
318,2557,6,6,1,1,City Center,Unfurnished,17,10,14677808.79
319,3997,2,1,2,2,Riverside,Fully-Furnished,25,7,16533806.71
320,3040,3,3,4,3,Suburb North,Fully-Furnished,5,6,15565018.76
321,1589,6,3,4,3,Hill View,Fully-Furnished,0,1,11618769.42
322,2327,6,6,3,0,Tech Park Area,Semi-Furnished,13,6,13738392.17
323,2476,3,3,3,2,Tech Park Area,Fully-Furnished,8,9,16151606.5
324,3678,3,1,1,0,Countryside,Unfurnished,7,2,7706033.9
325,452,4,2,2,2,Suburb South,Semi-Furnished,5,10,1883035.14
326,787,3,2,1,3,Industrial Zone,Fully-Furnished,14,6,2570973.69
327,3332,1,1,2,3,Suburb North,Unfurnished,37,3,8600191.05
328,2272,1,1,3,0,City Center,Fully-Furnished,8,7,13080576.28
329,2019,1,1,1,2,Hill View,Semi-Furnished,8,6,10877710.76
330,3534,2,2,2,0,Tech Park Area,Fully-Furnished,0,9,21849521.23
331,2252,3,2,2,3,Old Town,Fully-Furnished,28,3,6225674.12
332,861,2,1,4,2,City Center,Semi-Furnished,8,3,4579525.41
333,795,2,2,3,0,Industrial Zone,Unfurnished,33,9,1759575.26
334,3513,4,3,1,1,Countryside,Semi-Furnished,7,3,8898040.68
335,2882,1,1,3,2,Suburb South,Semi-Furnished,36,6,7613232.52
336,3247,2,2,1,0,Old Town,Unfurnished,0,4,9260792.24
337,4228,1,1,3,3,City Center,Fully-Furnished,25,1,21563230.16
338,2652,5,2,3,0,Industrial Zone,Unfurnished,32,3,6319147.77
339,1086,5,3,4,0,Industrial Zone,Fully-Furnished,27,3,2857498.05
340,803,4,1,4,0,Industrial Zone,Fully-Furnished,11,1,2194456.45
341,1012,6,1,2,3,Hill View,Fully-Furnished,33,4,4810598.34
342,969,6,6,3,0,Downtown,Semi-Furnished,27,4,4918477.47
343,1527,6,5,1,3,Countryside,Fully-Furnished,23,0,3938715.73
344,2771,2,2,2,2,Suburb North,Fully-Furnished,7,3,12667012.76
345,460,1,1,2,0,Countryside,Semi-Furnished,24,2,814179.01
346,4383,1,1,2,2,Riverside,Semi-Furnished,20,4,17951942.24
347,2791,3,1,1,1,Riverside,Fully-Furnished,2,6,13777818.26
348,2355,3,3,3,0,Tech Park Area,Semi-Furnished,0,5,11762025.25
349,2759,3,2,4,2,Old Town,Semi-Furnished,12,8,10147719.43
350,1454,2,1,4,0,Riverside,Fully-Furnished,22,10,7567816.96
351,4043,1,1,1,3,Industrial Zone,Unfurnished,13,8,11175497.91
352,2169,4,1,2,2,Suburb North,Unfurnished,14,8,8145073.05
353,4118,3,3,1,0,Tech Park Area,Unfurnished,40,6,12384101.53
354,2775,1,1,2,1,Industrial Zone,Semi-Furnished,20,6,7122975.81
355,3462,3,3,4,2,Riverside,Unfurnished,12,2,15168583.27
356,2844,1,1,1,1,Countryside,Semi-Furnished,20,6,5539317.64
357,1917,2,2,3,3,Industrial Zone,Unfurnished,5,2,5322876.65
358,1696,6,6,1,1,Hill View,Unfurnished,5,3,10540143.03
359,2073,5,1,3,2,Suburb South,Unfurnished,25,7,6685026.22
360,2703,2,1,4,0,Suburb South,Unfurnished,0,0,9236488.64
361,4474,2,1,2,3,Hill View,Fully-Furnished,40,10,19263757.45
362,2850,3,1,1,0,Riverside,Fully-Furnished,28,2,10252074.05
363,3920,3,1,1,3,Downtown,Unfurnished,36,6,15369678.63
364,2067,4,1,4,3,Suburb South,Semi-Furnished,13,2,6974585.57
365,2276,2,1,2,2,Countryside,Semi-Furnished,35,7,4026284.4
366,1595,4,2,4,1,Tech Park Area,Unfurnished,40,8,6114167.86
367,2016,6,3,4,3,Hill View,Fully-Furnished,32,5,11052950.25
368,1186,1,1,2,0,Industrial Zone,Unfurnished,30,8,2426983.18
369,2842,2,1,1,1,Riverside,Semi-Furnished,34,0,9271075.31
370,4332,2,2,4,2,Suburb South,Unfurnished,15,9,14449637.93
371,3473,6,3,1,2,Old Town,Fully-Furnished,9,9,16348286.86
372,3877,4,4,3,1,Countryside,Unfurnished,5,0,8606559.53
373,1346,1,1,1,2,Old Town,Unfurnished,8,5,3935678.15
374,4213,3,1,1,1,Old Town,Fully-Furnished,9,1,14806030.3
375,3975,3,1,3,3,Old Town,Unfurnished,21,4,10316506.52
376,4447,2,2,4,3,Hill View,Unfurnished,35,9,19818391.39
377,1364,6,5,2,3,Industrial Zone,Fully-Furnished,18,2,4204971.06
